,artifact,denoiser,realization,scale,mse,wasserstein,num_w_scales,hurst
82,sawtooth,wt_sure,6,1,0.027308810663333835,"[0.6148031694457594, 0.7404929445277925, 1.4270582598302717, 0.8585027147494708, 0.37802107969002935, 0.15283641574378737, 0.04065241392567072, 0.0123622730661077, 0.0036854361129448916, 0.001119169573768065]",9,-1.3751404243163055
83,sawtooth,wt_zero,6,1,0.054721746061009637,"[0.6148031694457594, 3.547529859684267, 1.4270582598302717, 0.8585027147494708, 0.5203076923653168, 0.2785335440836928, 0.12953245927283355, 0.06688034711625361, 0.03280506026630702, 0.020421414581322073]",9,-4.4231320050938425
84,square,wqn,7,1,0.11282706408086077,"[0.14313149483095788, 0.20283086496810196, 1.2754359092208847, 0.18958637575750698, 0.07234136126594794, 0.020612116217036867, 0.011470885985013982, 0.004025233251342103, 0.0012318301737998477, 0.00025380540443968136]",9,-1.9010301375488432
85,square,wt_ihard,7,1,0.12351760999361466,"[0.47409469961190553, 2.058360719645265, 3.9057840875406122, 1.4519251787332317, 0.7073663422899117, 0.3313840612214285, 0.1537289432898129, 0.05595377042243885, 0.023098506032641068, 0.0071944392494775146]",9,-1.4195727998577854
86,square,wt_isoft,7,1,0.1051778374916699,"[0.47409469961190553, 0.2637302001576022, 3.328783946386601, 0.8464645097902412, 0.49696813595104966, 0.1985229832259987, 0.07950553692774132, 0.02390262508434165, 0.008250613490021192, 0.0024901995366515724]",9,-1.5919370378217002
87,square,wt_uni,7,1,0.7470956174211495,"[0.47409469961190553, 0.42616854947814586, 6.649704495062825, 3.858978967010109, 1.2647091226220537, 0.4361197721589314, 0.15535465647244423, 0.04495318095444477, 0.013183455429543994, 0.0034799524448777173]",9,-2.110354500545581
88,square,wt_sure,7,1,0.12001000989189264,"[0.47409469961190553, 0.42616854947814586, 3.9057840875406122, 1.4519251787332317, 0.48537179793625734, 0.23227995854017836, 0.07739293387046067, 0.02231789537483376, 0.008163612047820233, 0.0020833114084989647]",9,-1.4670310100410742
89,square,wt_zero,7,1,0.24237727077930504,"[0.47409469961190553, 8.19283149467681, 3.9057840875406122, 1.4519251787332317, 0.7158162518064215, 0.3478471401743194, 0.1875166822376269, 0.08498840158131407, 0.04391860690674687, 0.026240962468393258]",9,-4.393189389913846
90,sawtooth,wqn,7,1,0.18295875463147343,"[0.17688079958000547, 0.16442504845013253, 1.4484302960173598, 0.3004704980270512, 0.1517194102013585, 0.047915180322379916, 0.019138092076540887, 0.009579705858095353, 0.0021813771268154956, 0.0006552036055312925]",9,-2.020435483517703
91,sawtooth,wt_ihard,7,1,0.12300013039214663,"[0.231180233112382, 0.35482718464666085, 3.9057840875406122, 1.4179113115692215, 0.677769054100259, 0.29326924454347636, 0.12436707639197175, 0.04260366884180999, 0.016330247515922124, 0.0047798485924291645]",9,-1.5612877086156263
92,sawtooth,wt_isoft,7,1,0.11436754037612423,"[0.231180233112382, 0.35482718464666085, 3.9057840875406113, 1.0678403371270269, 0.3980175777754679, 0.14987697530033972, 0.06213241528444849, 0.01780717776486012, 0.005392735005991513, 0.0016412716701677105]",9,-1.7340219965995127
93,sawtooth,wt_uni,7,1,0.5913302419839639,"[0.231180233112382, 0.35482718464666085, 3.9115543113941182, 2.926494271396991, 1.1524227760030739, 0.32981318854565966, 0.11765328630185148, 0.029046750067894065, 0.007537860214991487, 0.002046989159458256]",9,-2.272594702441535
94,sawtooth,wt_sure,7,1,0.11678959788826086,"[0.231180233112382, 0.35482718464666085, 3.9057840875406122, 1.4519251787332317, 0.4750037908432389, 0.13001736907615474, 0.06557620598223789, 0.01502279150618591, 0.004573264625394154, 0.00155166070887628]",9,-1.601362448886742
95,sawtooth,wt_zero,7,1,0.2406148740546776,"[0.231180233112382, 8.19283149467681, 3.9057840875406122, 1.4519251787332317, 0.7158162518064215, 0.3478471401743194, 0.1875166822376269, 0.08498840158131407, 0.04391860690674687, 0.026240962468393258]",9,-4.394294891334848
96,square,wqn,8,1,0.2317722980368932,"[0.5730397516737151, 0.44319842720137714, 1.6294452713699523, 0.5579344644964426, 0.12069199110340695, 0.06060848567045308, 0.022559338278807968, 0.008821078401631113, 0.0010547265719876389, 0.0013720246974404627]",9,-1.7880618449473902
97,square,wt_ihard,8,1,0.13935044988706868,"[0.6171390266072185, 1.7503071801577013, 4.722365586556564, 2.066324933026658, 0.8634886945481735, 0.4444433198919199, 0.16471334565163603, 0.05920421426188517, 0.02648333110217676, 0.009525268415003535]",9,-1.143241750583792
98,square,wt_isoft,8,1,0.13277775574921757,"[0.6171390266072185, 0.5770270993502447, 4.0039487764373405, 1.7543216521118559, 0.6757994981070219, 0.243018045365862, 0.09364278582571155, 0.02677517671360281, 0.01016133657671969, 0.0036988975326103218]",9,-1.4078912218067126
99,square,wt_uni,8,1,0.9608851735932378,"[0.6171390266072185, 0.5839935040047417, 6.766015871707373, 3.924378162602795, 1.362429047850675, 0.5332171942452655, 0.19287100949021777, 0.052358779115745005, 0.01635795478058573, 0.0053645762882114515]",9,-2.0468855657369476
