wt_soft,wt_hard,wt_uni_soft,wt_uni_hard,wqn,scale
0.8857457317822267,0.8880616655980084,2.013275500983597,1.006441245865946,0.520538385066514,6
1.183850873474279,1.1871012838766768,2.36372109382134,1.3392682662107338,0.5795356905971308,7
1.5276923006166272,1.5293388630801255,2.748598304223621,1.6452576727614199,0.6633050524954932,8
1.9177294457198875,1.916562650543794,3.177625070425573,2.0343305747044402,0.7844136685315952,9
2.3532996638198935,2.352351554119066,3.6371677683460266,2.36292647389633,0.8949239620372303,10
2.8351012290611752,2.834162914384851,4.1406133329041985,2.847109211670542,1.0112648953103824,11
3.3628926560598362,3.3618472792050307,4.690208396438001,3.37722840590327,1.1387640675571888,12
3.935849173826148,3.9352629607625946,5.285918599753457,3.9533635723261846,1.2640190690336677,13
4.555306107792491,4.55460570028851,5.927684186212518,4.575438524118628,1.407085361335601,14
5.220878860885858,5.2201026774089,6.614565976274948,5.2341448816286515,1.5505366487014554,15
5.932358599054187,5.931303926045911,7.347221845819388,5.947343248662939,1.7042947495352556,16
6.689671853697252,6.688614057648214,8.12590109945561,6.706377642309775,1.8786992903710622,17
7.493015925402211,7.491656249420673,8.950604729371747,7.511464938287319,2.0524380921903287,18
8.342303676950467,8.340916763047082,9.821099072551066,8.35365658465894,2.2012681085901042,19
0.09143349065034709,0.09209647516014588,0.6769046065491652,0.35731558459576457,0.16440219211568294,1
0.17608213076184842,0.1753590006393314,1.150708736471063,0.2732311468072869,0.3181621384767333,2
0.31429593384768195,0.31274860299846363,1.3844543008427097,0.37344165652779865,0.39226591784950404,3
0.5069835153881217,0.5054306779774084,1.6457593264978168,0.5685687225421353,0.4197601523928978,4
0.7544164188673272,0.7524179880214926,1.9528067151439246,0.8357248795468664,0.4992304937244421,5
1.0566507448904974,1.0562189669345945,2.302096928718677,1.1195087272701443,0.5493328450404059,6
1.4136985594498055,1.4126111000428423,2.705595837908081,1.4904623117887752,0.6485978095892165,7
1.8253983212385498,1.821015052791254,3.1476033585215033,1.8497432577519546,0.6738992466516426,8
2.2919541095675706,2.28644575491901,3.6485527346245297,2.417889113691762,0.7665041785783631,9
2.8131013482050102,2.8065436975006612,4.206789676042317,2.9365178434887507,0.8256706766632773,10
3.389127287968695,3.3813315505672725,4.8202830216613135,3.5341342447919515,0.8982730841917542,11
4.018828430584346,4.019247587305481,5.490308800620313,4.184855567540096,0.9316487402681342,12
4.704181501826893,4.7045764176829925,6.2080232263287005,4.703012267966785,0.9802469242824929,13
5.444299476537398,5.4449491123138,6.971969853885975,5.4426624618802055,1.0310767697142627,14
6.239196059709619,6.239896808027378,7.790618762471696,6.237732958096294,1.0898288889878514,15
7.088412024599624,7.0895474451727045,8.664032403654502,7.087717588453748,1.0995775046448095,16
7.992723677694751,7.994118759602864,9.592212946752948,7.992139079256692,1.0999912549553648,17
8.951793074191126,8.953276509653733,10.575140618523562,8.95156075320517,1.1285717694865187,18
9.965627666728603,9.967221382049164,11.612720444881022,9.96461691241167,1.1484431683903082,19
0.040475875672570515,0.03982773374895748,0.29001826913306894,0.0864132398964359,0.25029186447710156,1
0.09473586274888242,0.09398380451704973,0.40520375872971603,0.12323573420939697,0.2992827659749522,2
0.1847653474254911,0.1842040575665301,0.5276350273283943,0.2072636860348086,0.4960386385259175,3
0.3110084668249091,0.31022492885569874,0.6762797935842274,0.3349010844096086,0.7376703134498285,4
0.4735605289732153,0.4725400787615077,0.854711245241522,0.4803286387055732,0.8461479242403337,5
0.6726980913061711,0.671236077014189,1.067383810147919,0.6808687383312427,1.0203451677315893,6
0.9076097832549859,0.9067274701417387,1.3164382626359812,0.9193355635793851,1.0793546544144665,7
1.179370147746728,1.1780810445317158,1.6006393712924547,1.175315919930485,1.181200912629473,8
1.487581142736859,1.4855591101398478,1.9176179809146343,1.4822422855134154,1.235929886624345,9
1.8312400972592877,1.8296358082844366,2.2706661178242635,1.824325923942653,1.2803843050012422,10
2.2104092013338366,2.2098588944159085,2.65981119363774,2.2033230223017535,1.336548036331054,11
2.627243191084727,2.626481677812512,3.0851302182484694,2.61862416387786,1.4165377395547023,12
3.0804417746310717,3.079404988934706,3.5466232286660313,3.069952240670468,1.4820546390008285,13
3.569805095061804,3.5686592857272075,4.044286351162478,3.557628897834389,1.5517687121255888,14
4.095677732777987,4.094104683199514,4.578142862741566,4.081601433564498,1.6724067831070315,15
4.657874008447294,4.65589900672656,5.14817554529531,4.64150657952263,1.7714101307315446,16
5.256424648649482,5.254119950458011,5.754399685438993,5.237893410032306,1.873877940754731,17
5.8913369059415155,5.88847489650161,6.396854083674232,5.871517207567608,2.023674880687347,18
6.562605019815829,6.5593126247656866,7.075456747489615,6.539815904358189,2.1482944870948044,19
0.05460793323382365,0.0546592137394366,0.5549573555710855,0.242272382685496,0.8339160597134938,1
0.09725760824123365,0.0965699991691672,0.7425548825704608,0.14624135641205263,0.8913607759379153,2
0.1701036015433985,0.16790519615819766,0.8547030221804355,0.20292595091487234,1.0375656306345171,3
0.2734581114489561,0.2706407239303488,0.9885934765579757,0.31688486504205726,1.0938732072871384,4
0.4074370640396639,0.40445489685226305,1.1517243506070427,0.43916686139635297,1.125067307591156,5
0.5722935681666051,0.5684012605848197,1.338569981627455,0.6044995497303848,1.159820329024429,6
0.7672735002620825,0.7631410098754648,1.5568826422230113,0.8118140628947511,1.1808451939548787,7
0.9934080503098474,0.9884718835104573,1.802635915262992,0.9996240091931692,1.204406848246379,8
1.2492568602878216,1.244981562099952,2.0749765942883727,1.2519726261486481,1.2231473162132134,9
1.5365136149690448,1.530611126021146,2.37691253565959,1.5397669269785064,1.2514069668270469,10
1.8544022618764684,1.850212510876306,2.710010165913296,1.8636133569190398,1.273758513564718,11
2.202967955230909,2.1982281566191015,3.072877265702885,2.205585829553392,1.2935390018546724,12
2.582174108591161,2.5764331245744896,3.46615461065285,2.585067659864085,1.3203616922379804,13
2.9921983968290515,2.985657522503782,3.89014947243816,2.9957261346127853,1.350620267352221,14
3.429919779920813,3.4251886501260365,4.344822911541321,3.436106011019901,1.3665895255071039,15
3.900802600262563,3.8958311394451477,4.8301183498217615,3.9079246644301353,1.3885986445975338,16
4.402258869542117,4.3968728988837364,5.346108596187484,4.410658710995876,1.4033786531804329,17
4.934362485280449,4.928444594998103,5.892807554906793,4.943718888652911,1.4316908753231665,18
5.497115879025051,5.490706540110249,6.4702046614907305,5.507814908167905,1.454688576706527,19
