denoiser,realization,scale,mse
wt_ihard,6,9,0.019660397275675406
wt_isoft,6,9,0.02589456877301715
wt_usoft,6,9,1.6725753473026632
wqn,6,10,0.10035441739999901
wt_ihard,6,10,0.02000360853423644
wt_isoft,6,10,0.026190933808776077
wt_usoft,6,10,1.6776309872262933
wqn,6,11,0.09865260025149289
wt_ihard,6,11,0.02038279220532618
wt_isoft,6,11,0.02651905866619107
wt_usoft,6,11,1.68156194326657
wqn,6,12,0.0989103374250841
wt_ihard,6,12,0.020795767274445813
wt_isoft,6,12,0.0268816145783388
wt_usoft,6,12,1.6836885575019576
wqn,6,13,0.09923933333290672
wt_ihard,6,13,0.02124189105725386
wt_isoft,6,13,0.0272761071305152
wt_usoft,6,13,1.6859555507340551
wqn,6,14,0.09920295756968245
wt_ihard,6,14,0.021721319610668158
wt_isoft,6,14,0.027703904453297894
wt_usoft,6,14,1.6882781462489636
wqn,6,15,0.09918655536369082
wt_ihard,6,15,0.03992005755597402
wt_isoft,6,15,0.033859383304139366
wt_usoft,6,15,1.6903289199992202
wqn,6,16,0.09817566360041763
wt_ihard,6,16,0.04024626625482641
wt_isoft,6,16,0.0341899207143686
wt_usoft,6,16,1.6924919414872766
wqn,6,17,0.09826178260422347
wt_ihard,6,17,0.04058583530390662
wt_isoft,6,17,0.034541657370394226
wt_usoft,6,17,1.6938101686085414
wqn,6,18,0.09841661192444223
wt_ihard,6,18,0.04094996015141651
wt_isoft,6,18,0.034917164309561224
wt_usoft,6,18,1.695188576742851
wqn,6,19,0.09852293379468971
wt_ihard,6,19,0.04133536716966824
wt_isoft,6,19,0.03530773778889453
wt_usoft,6,19,1.696603500403437
wqn,6,20,0.09864105767738957
wt_ihard,6,20,0.04173852863854715
wt_isoft,6,20,0.03572246728234925
wt_usoft,6,20,1.6980944439333598
wqn,7,0,2.8538003696110044e-22
wt_ihard,7,0,2.8538003696110044e-22
wt_isoft,7,0,2.8538003696110044e-22
wt_usoft,7,0,2.8538003696110044e-22
wqn,7,1,0.286761108886323
wt_ihard,7,1,0.6312080421578594
wt_isoft,7,1,0.6005109234739496
wt_usoft,7,1,0.9411495617469214
wqn,7,2,0.3732177843050941
wt_ihard,7,2,0.2412104930376528
wt_isoft,7,2,0.22697044958621293
wt_usoft,7,2,2.4507516638398124
wqn,7,3,0.3981930493842465
wt_ihard,7,3,0.24119916558560373
wt_isoft,7,3,0.2273165047050404
wt_usoft,7,3,3.2016425111374236
wqn,7,4,0.41219357113839883
wt_ihard,7,4,0.24070347782509205
wt_isoft,7,4,0.22745115186581122
wt_usoft,7,4,3.499937550643519
wqn,7,5,0.4080386509819969
wt_ihard,7,5,0.23979413425420726
wt_isoft,7,5,0.22688522292073873
wt_usoft,7,5,3.63082492092036
wqn,7,6,0.41373398057532107
wt_ihard,7,6,0.23897828777299607
wt_isoft,7,6,0.2261691001167236
wt_usoft,7,6,3.7774395636752063
wqn,7,7,0.4259557138402764
wt_ihard,7,7,0.23837402410286626
wt_isoft,7,7,0.2255261655814685
wt_usoft,7,7,3.9143390572225023
wqn,7,8,0.40705558771978445
wt_ihard,7,8,0.23768962573673202
wt_isoft,7,8,0.22496156384944704
wt_usoft,7,8,3.9577600730632967
wqn,7,9,0.4235667760431189
wt_ihard,7,9,0.23710106535732986
wt_isoft,7,9,0.22437079179918545
wt_usoft,7,9,3.9774598717156207
wqn,7,10,0.4259097227416585
wt_ihard,7,10,0.23655650012038176
wt_isoft,7,10,0.22384912521316766
wt_usoft,7,10,3.99222907059113
wqn,7,11,0.42426417894212387
wt_ihard,7,11,0.2359275622786433
